experiment	condition	artifact_id	wasm	gzip	candid	metrics	result
b1-08-endpoint-candid-type-construction	baseline	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	runtime_probe	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	payload_limit_probe	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	baseline	blob_storage_probe	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	runtime_probe	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	payload_limit_probe	PASS	PASS	PASS	PASS	PASS
b1-08-endpoint-candid-type-construction	variant	blob_storage_probe	PASS	PASS	PASS	PASS	PASS
