canister	kind	built_wasm_bytes	built_wasm_gz_bytes	shrunk_wasm_bytes	shrunk_wasm_gz_bytes	shrink_delta_bytes	shrink_delta_percent	built_functions	shrunk_functions	built_exports	shrunk_exports
app	leaf-canister	1748257	495977	1635267	461494	112990	6.46	3331	3331	16	16
minimal	leaf-canister	1748257	495587	1635266	461480	112991	6.46	3331	3331	16	16
user_hub	leaf-canister	1922608	556743	1798394	512370	124214	6.46	3660	3660	20	20
user_shard	leaf-canister	1870897	539985	1748808	500566	122089	6.53	3528	3528	20	20
scale_hub	leaf-canister	1813098	518062	1695975	479973	117123	6.46	3445	3445	19	19
scale	leaf-canister	1767236	503783	1653143	469906	114093	6.46	3371	3371	17	17
root	bundle-canister	3897848	1515986	3665447	1406053	232401	5.96	5724	5724	41	41
