index,bucket_start,bucket_start_offset_ns,bucket_duration_ns,source_x_px,source_y_px,height_px,height_ppm,target_visible_cycles_per_second,target_visible_Bcycles_per_second
60,01:40:27.906,6027906976744,100465116279,60,127.450,14.049,289676,114483800000,114.483800000
61,01:42:08.372,6128372093023,100465116279,61,127.450,14.049,289676,114483800000,114.483800000
62,01:43:48.837,6228837209302,100465116279,62,127.506,13.993,288521,114426050000,114.426050000
63,01:45:29.302,6329302325581,100465116279,63,128.000,13.499,278335,113916750000,113.916750000
64,01:47:09.767,6429767441860,100465116279,64,128.496,13.003,268108,113405400000,113.405400000
65,01:48:50.232,6530232558139,100465116279,65,128.552,12.947,266953,113347650000,113.347650000
66,01:50:30.697,6630697674418,100465116279,66,129.467,12.032,248087,112404350000,112.404350000
67,01:52:11.162,6731162790697,100465116279,67,129.549,11.950,246396,112319800000,112.319800000
68,01:53:51.627,6831627906976,100465116279,68,130.463,11.036,227551,111377550000,111.377550000
69,01:55:32.093,6932093023255,100465116279,69,130.543,10.956,225901,111295050000,111.295050000
70,01:57:12.558,7032558139534,100465116279,70,131.447,10.052,207262,110363100000,110.363100000
71,01:58:53.023,7133023255813,100465116280,71,131.495,10.004,206272,110313600000,110.313600000
72,02:00:33.488,7233488372093,100465116279,72,131.445,10.054,207303,110365150000,110.365150000
73,02:02:13.953,7333953488372,100465116279,73,130.501,10.998,226767,111338350000,111.338350000
74,02:03:54.418,7434418604651,100465116279,74,130.000,11.499,237097,111854850000,111.854850000
75,02:05:34.883,7534883720930,100465116279,75,129.467,12.032,248087,112404350000,112.404350000
76,02:07:15.348,7635348837209,100465116279,76,128.530,12.969,267407,113370350000,113.370350000
77,02:08:55.813,7735813953488,100465116279,77,128.000,13.499,278335,113916750000,113.916750000
78,02:10:36.279,7836279069767,100465116279,78,127.489,14.010,288871,114443550000,114.443550000
79,02:12:16.744,7936744186046,100465116279,79,126.550,14.949,308233,115411650000,115.411650000
80,02:13:57.209,8037209302325,100465116279,80,125.564,15.935,328563,116428150000,116.428150000
81,02:15:37.674,8137674418604,100465116279,81,125.486,16.013,330171,116508550000,116.508550000
82,02:17:18.139,8238139534883,100465116279,82,124.531,16.968,349862,117493100000,117.493100000
83,02:18:58.604,8338604651162,100465116279,83,124.434,17.065,351862,117593100000,117.593100000
84,02:20:39.069,8439069767441,100465116279,84,123.534,17.965,370420,118521000000,118.521000000
85,02:22:19.534,8539534883720,100465116280,85,123.500,17.999,371121,118556050000,118.556050000
86,02:24:00.000,8640000000000,100465116279,86,123.491,18.008,371306,118565300000,118.565300000
87,02:25:40.465,8740465116279,100465116279,87,123.493,18.006,371265,118563250000,118.563250000
88,02:27:20.930,8840930232558,100465116279,88,123.451,18.048,372131,118606550000,118.606550000
89,02:29:01.395,8941395348837,100465116279,89,122.561,18.938,390482,119524100000,119.524100000
90,02:30:41.860,9041860465116,100465116279,90,122.465,19.034,392461,119623050000,119.623050000
91,02:32:22.325,9142325581395,100465116279,91,121.495,20.004,412462,120623100000,120.623100000
92,02:34:02.790,9242790697674,100465116279,92,121.000,20.499,422668,121133400000,121.133400000
93,02:35:43.255,9343255813953,100465116279,93,120.552,20.947,431905,121595250000,121.595250000
94,02:37:23.720,9443720930232,100465116279,94,120.535,20.964,432256,121612800000,121.612800000
95,02:39:04.186,9544186046511,100465116279,95,120.545,20.954,432050,121602500000,121.602500000
96,02:40:44.651,9644651162790,100465116279,96,120.466,21.033,433679,121683950000,121.683950000
97,02:42:25.116,9745116279069,100465116279,97,120.437,21.062,434276,121713800000,121.713800000
98,02:44:05.581,9845581395348,100465116279,98,119.031,22.468,463267,123163350000,123.163350000
99,02:45:46.046,9946046511627,100465116279,99,118.463,23.036,474978,123748900000,123.748900000
100,02:47:26.511,10046511627906,100465116280,100,117.011,24.488,504917,125245850000,125.245850000
101,02:49:06.976,10146976744186,100465116279,101,116.451,25.048,516464,125823200000,125.823200000
102,02:50:47.441,10247441860465,100465116279,102,115.429,26.070,537536,126876800000,126.876800000
103,02:52:27.906,10347906976744,100465116279,103,115.435,26.064,537413,126870650000,126.870650000
104,02:54:08.372,10448372093023,100465116279,104,115.000,26.499,546382,127319100000,127.319100000
105,02:55:48.837,10548837209302,100465116279,105,115.000,26.499,546382,127319100000,127.319100000
106,02:57:29.302,10649302325581,100465116279,106,115.000,26.499,546382,127319100000,127.319100000
107,02:59:09.767,10749767441860,100465116279,107,115.000,26.499,546382,127319100000,127.319100000
108,03:00:50.232,10850232558139,100465116279,108,115.000,26.499,546382,127319100000,127.319100000
109,03:02:30.697,10950697674418,100465116279,109,115.000,26.499,546382,127319100000,127.319100000
110,03:04:11.162,11051162790697,100465116279,110,114.509,26.990,556506,127825300000,127.825300000
111,03:05:51.627,11151627906976,100465116279,111,113.928,27.571,568485,128424250000,128.424250000
112,03:07:32.093,11252093023255,100465116279,112,112.499,29.000,597950,129897500000,129.897500000
113,03:09:12.558,11352558139534,100465116279,113,112.498,29.001,597971,129898550000,129.898550000
114,03:10:53.023,11453023255813,100465116280,114,113.044,28.455,586713,129335650000,129.335650000
115,03:12:33.488,11553488372093,100465116279,115,113.997,27.502,567063,128353150000,128.353150000
116,03:14:13.953,11653953488372,100465116279,116,115.002,26.497,546341,127317050000,127.317050000
117,03:15:54.418,11754418604651,100465116279,117,115.988,25.511,526010,126300500000,126.300500000
