canister	kind	built_wasm_bytes	built_wasm_gz_bytes	shrunk_wasm_bytes	shrunk_wasm_gz_bytes	shrink_delta_bytes	shrink_delta_percent	built_functions	shrunk_functions	built_exports	shrunk_exports
app	leaf-canister	1805742	533925	1683465	495861	122277	6.77	3552	3552	18	18
user_hub	leaf-canister	1974339	588667	1840534	543659	133805	6.78	3893	3893	22	22
user_shard	leaf-canister	1894718	562852	1765279	522937	129439	6.83	3691	3691	20	20
minimal	leaf-canister	1805739	533958	1683461	495876	122278	6.77	3552	3552	18	18
scale_hub	leaf-canister	1837444	544930	1712596	506743	124848	6.79	3622	3622	21	21
scale	leaf-canister	1821581	539840	1698254	501381	123327	6.77	3595	3595	19	19
root	bundle-canister	3834215	1538013	3588379	1421284	245836	6.41	6001	6001	42	42
