experiment	condition	repetition	artifact_id	canister	wasm_bytes	gzip_bytes	code_section_bytes	data_section_bytes	ic_wasm_total_functions	replica_limited_defined_functions	optimizer_defined_functions	table_minimum	element_entries	wasm_export_entries	ic_wasm_exported_methods	candid_bytes	candid_service_methods	wasm_sha256	gzip_sha256	candid_sha256	optimizer_before_raw	optimizer_before_gzip	optimizer_before_code	optimizer_before_data	optimizer_before_functions
b1-16-status-projection	variant	a	canonical_app	app	2783196	999179	2555567	191110	4528	4491	4491	919	918	10	9	28177	4	7bda8f57d61bce052054328aa22abbc894e20e2043a57a887e3570a2cdab7b34	04f7dc22b6e223e23e14e4f1971498ab8b9c96c966990402d905fc8b60138163	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	2954726	980569	2723953	193601	5167
b1-16-status-projection	variant	a	canonical_index_hub	index_hub	2563288	920506	2345945	181468	4203	4164	4164	857	856	10	9	27959	4	ae1710406b7fb7a80a532b9b727f97e991a0c15d808af62f27a87ff84962f3c6	2d3ec08610d3cf3fef4d48bbe5b157715d068ed3a5e5c15d5bd2fb976adfebcb	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2726751	903613	2506686	183585	4850
b1-16-status-projection	variant	a	canonical_test	test	3094091	1098735	2846143	204959	5047	5008	5008	970	969	12	11	33804	6	ce290e27e39eadecf360021f0a2f156d528d8c308973e7daa8d62f14624f5aff	88fc8e8142329bd37219e37b8728719ebae6aefed450d136314afe025df8825e	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3287934	1079025	3036763	207521	5737
b1-16-status-projection	variant	a	canonical_user_hub	user_hub	3217190	1148007	2969177	207947	5325	5286	5286	977	976	15	14	30421	9	472c2748db8737fc3ee141914c65f87b60360bb8170710453d47e3673c1bc8b1	8797d85255cc914e4195ed61dcedaa02b3ff6dfad9a1180bce966fbe39050e3b	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3418280	1130707	3166946	210593	6044
b1-16-status-projection	variant	a	canonical_scale_hub	scale_hub	3143405	1119884	2898570	205899	5153	5114	5114	962	961	12	11	29665	6	bbf21f083f2e463e4071f597b2ba85b67e2217894be198eb72814e84d433d843	ac746f35322c2504f57a486cfa57db328f09bacf0f5c241763bfa0eb8d8eb898	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3340188	1102324	3092107	208485	5856
b1-16-status-projection	variant	a	canonical_index_child	index_child	2340055	845619	2130436	175620	3865	3827	3827	834	833	10	9	26552	4	467d7667d88eb6b5226b5ebcd574b1e83b3be064bff27344054ad00af56f4eab	56ee723faa84f14e41d6cedc94a8daa52dbc0a2632162e9e65e38c1fe66acb25	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	2490003	828673	2277666	177765	4459
b1-16-status-projection	variant	a	canonical_user_shard	user_shard	3138926	1116481	2890900	205346	5156	5116	5116	971	970	14	13	33290	8	86c56e9713464202b592370b39d86fc32ec09564eae7631533ca3c92f525ffc9	e8b5c9cc48c1eee3abe097c58f79ced06c0cc360ef2cec26fc15bada5f223f67	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	3335567	1095305	3084297	207921	5854
b1-16-status-projection	variant	a	canonical_scale_replica	scale_replica	2793972	1004141	2565318	191472	4557	4520	4520	922	921	11	10	28760	5	6b18a9c3f316b8175e6cb91f16eb6dcc6ab5524e9f3778704a969f7c2ccd43d9	c479ab0769ff5a810434477c7b861a4f68dd9731a8e5098df2d75321f8b57dd8	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	2965803	985943	2733973	193993	5198
b1-16-status-projection	variant	a	canonical_root	root	6888465	2448974	6462935	322317	9342	9300	9300	1645	1644	12	11	88042	6	cc44493584043e23cae0a90ce23349fd28ffa2672e1012a45becec66c1616362	23e37b4af2f7fb1266c04c80f1198d5f10034b0210459a7e78308d6031b97b6e	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	7321701	2377180	6891619	325573	10653
b1-16-status-projection	variant	a	canonical_fleet_coordinator	fleet_coordinator	3479030	1206515	3228699	198810	4475	4441	4441	882	881	7	6	43510	2	33b4589f5a30136da0edf025336e010f17a455f71a6f0103e9bc7941aed4d635	2bf62afd8ac3efa602b52f415c4a57d6804b81aa28dc944279d28f0fc78a0cb0	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3702287	1173605	3448781	201185	5297
b1-16-status-projection	variant	a	canonical_wasm_store	wasm_store	2436892	883183	2239724	176719	4262	4223	4223	839	838	11	10	12459	5	6e9c0a1f26749b17d84a434e54faedc2f4e599e4713309aeb34c769375d159e6	0730297a1ae5358dea20c7377a74374a473f8a978a622ccf9043a4b3ce7ad769	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2591760	864309	2391740	178973	4891
