# advisory_id	kind	package	version	checksum	expected_introducers
RUSTSEC-2021-0127	unmaintained	serde_cbor	0.11.2	2bef2ebfde456fb76bbcf9f59315333decc4fda0b2b44b420243c11e0f5ec1f5	ic-agent,ic-canister-sig-creation,ic-signature-verification,ic-transport-types,pocket-ic
RUSTSEC-2024-0384	unmaintained	instant	0.1.13	e0242819d153cba4b4b05a5a8f2a7e9bbf97b6055b2a002b395c96b5ff3c0222	backoff
RUSTSEC-2024-0436	unmaintained	paste	1.0.15	57c0d7b74b563b49d38dae00a0c37d4d6de9b432382b2892f0574ddcae73fd0a	candid
RUSTSEC-2025-0012	unmaintained	backoff	0.4.0	b62ddb9cb1ec0a098ad4bbf9344d0713fa193ae1a80af55febcff2627b6a00c1	ic-agent,pocket-ic
