canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
audit_leaf_probe	audit_time_probe	app:canic_time:minimal-valid	1	33704	33704
audit_leaf_probe	audit_env_probe	app:canic_env:minimal-valid	1	35350	35350
audit_leaf_probe	audit_log_probe	app:canic_log:empty-page	1	312927	312927
audit_root_probe	audit_subnet_registry_probe	root:canic_subnet_registry:full-registry	1	76443	76443
audit_root_probe	audit_subnet_state_probe	root:canic_subnet_state:empty-struct	1	32001	32001
audit_scaling_probe	audit_plan_create_worker_probe	scale_hub:plan_create_worker:empty-pool	1	64501	64501
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	1682331	1682331
test	test	test:test:minimal-valid	1	817	817
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	489511	489511
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	415911	415911
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	187505	187505
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	337142	337142
