canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
audit_leaf_probe	audit_time_probe	app:canic_time:minimal-valid	1	33672	33672
audit_leaf_probe	audit_env_probe	app:canic_env:minimal-valid	1	35385	35385
audit_leaf_probe	audit_log_probe	app:canic_log:empty-page	1	315549	315549
audit_root_probe	audit_subnet_registry_probe	root:canic_subnet_registry:full-registry	1	76959	76959
audit_root_probe	audit_subnet_state_probe	root:canic_subnet_state:empty-struct	1	31979	31979
audit_scaling_probe	audit_plan_create_worker_probe	scale_hub:plan_create_worker:empty-pool	1	64325	64325
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	1768507	1768507
test	test	test:test:minimal-valid	1	819	819
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	599467	599467
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	415153	415153
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	186200	186200
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	333817	333817
