experiment	condition	artifact_id	wasm	gzip	candid	metrics	result
b1-05-relevant-cbor-stub	baseline	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	runtime_probe	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	baseline	blob_storage_probe	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	runtime_probe	PASS	PASS	PASS	PASS	PASS
b1-05-relevant-cbor-stub	variant	blob_storage_probe	PASS	PASS	PASS	PASS	PASS
