experiment	condition	repetition	artifact_id	canister	wasm_bytes	gzip_bytes	code_section_bytes	data_section_bytes	ic_wasm_total_functions	replica_limited_defined_functions	optimizer_defined_functions	table_minimum	element_entries	wasm_export_entries	ic_wasm_exported_methods	candid_bytes	candid_service_methods	wasm_sha256	gzip_sha256	candid_sha256	optimizer_before_raw	optimizer_before_gzip	optimizer_before_code	optimizer_before_data	optimizer_before_functions
b1-05-relevant-cbor-stub	variant	b	canonical_index_hub	index_hub	1989111	734999	1768931	184658	3984	3945	3945	811	810	10	9	27959	4	353247dd28a9b684c28a2a6012f1b5dd52c814c08c95b3afb7076137da2b49e4	dfa4e436073e266d6104a8eb7346d0984ceeedcbfadc4d834f2a44e90f84c20a	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2129650	722984	1906889	186721	4522
b1-05-relevant-cbor-stub	variant	b	canonical_test	test	2497762	906103	2247921	207212	4815	4776	4776	925	924	12	11	33804	6	04c01295914ce24a05ad83f918e69733d4616f496554875995587e850c1b5e39	e472135b9cd61499e18ef4c2ee54246c9372875561b86f80f701ee8e9ed608fe	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	2668625	889884	2415685	209717	5405
b1-05-relevant-cbor-stub	variant	b	canonical_user_hub	user_hub	2617434	950642	2366419	211307	5105	5066	5066	932	931	15	14	30421	9	ea245d6a8cdf01d78665e1f7fc6e8d41048f9125efd629218abb62613b504cec	3bf72e02ad43101b65e7ba1f35d176a6adedd01b6075be9824bbb1059e879208	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	2794736	938067	2540612	213809	5722
b1-05-relevant-cbor-stub	variant	b	canonical_scale_hub	scale_hub	2545184	922885	2297713	208897	4928	4889	4889	917	916	12	11	29665	6	5c9d8261129dfef8f2b6c23cd6d43db540162f5292c3e3d703e1e9eafc9a812d	115ecae4e182b1179a5dcff6084cf8767915a5a6b0a5ee45084fde7e89708593	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	2719568	909364	2469037	211365	5530
b1-05-relevant-cbor-stub	variant	b	canonical_index_child	index_child	1841973	683670	1628832	179386	3685	3646	3646	797	796	10	9	26552	4	ae43c1ef8fe628ad5967ffed139121d691ea7399bd7ebf4203cb1d553fd9a382	42290b6242cd54a931b47cd90370f40ce60749d812403bdc3a9e396ef9bdcccd	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	1973347	669799	1757594	181497	4196
b1-05-relevant-cbor-stub	variant	b	canonical_user_shard	user_shard	2554792	928707	2304567	207766	4973	4930	4930	929	928	14	13	33290	8	c0879fc657c3e58da17f0ebb2b8f997f82000957f96761d9e6a0f736258e00c6	f0feb541e5bb08529d798cfbe022ec6f26f45b309147b9220a66f29418b76ebb	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	2729605	911476	2476300	210237	5575
b1-05-relevant-cbor-stub	variant	b	canonical_scale_replica	scale_replica	2194582	811873	1964306	193423	4331	4294	4294	875	874	11	10	28760	5	414969f89bdf3def0209b7064dd28bd02ac15788f49cf94825e99745a163c547	aa4c4152579d33107817de4dbabd940d7d74a3f8810183ebb9f9f803c0809e0a	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	2344098	797160	2110890	195801	4871
b1-05-relevant-cbor-stub	variant	b	canonical_root	root	5275517	1939561	4855222	317878	8704	8659	8659	1545	1544	12	11	88042	6	77c6e733ab734f10ebc2a82bf8e4a2593f6fe95891e436f2f9aabe435be3fd9e	6fb518fd492df40c6ac5763fb142cb5be9444c1c92a9ce9f61bb351a5397614b	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	5635646	1885608	5211145	320997	9781
b1-05-relevant-cbor-stub	variant	b	canonical_fleet_coordinator	fleet_coordinator	2102265	770490	1866493	185219	3738	3704	3704	789	788	7	6	43510	2	8e0d8eaffe89804148819c492412c9ae6eb3053e3ece6f4df2a63c128f4fbcdb	106854a8dd07c65c6106308afe2235d4593e9b1f0385f445d8607fc240d86f58	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	2258368	757803	2019999	187257	4303
b1-05-relevant-cbor-stub	variant	b	canonical_wasm_store	wasm_store	1757631	659674	1570131	167619	3835	3796	3796	789	788	11	10	12459	5	07232302696c8dd8aee885b6845ea7dc824f4035c28b2756b829f9af7e301ae0	c2d869fdf9a653da9351a7898569b3f2283bd6aef0b066bc6ce99ce424fa5ef5	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	1884274	648274	1694131	169757	4367
b1-05-relevant-cbor-stub	variant	b	runtime_probe	test	1817588	672572	1615154	180247	3874	3835	3835	814	813	15	14	14496	9	146f252bbdac676c23920d48db75d8307a4eaa000fbde4c7efe555611f0336d4	9f9973d8432dabade8a15181789cdafd8898ce5a22c57a892dff71130989f3ee	39b18ad0b2589f36dd6b46cb1ae6704d83e6893fb224bda2daf189d952e1f96b	1949586	665620	1744296	182677	4321
b1-05-relevant-cbor-stub	variant	b	blob_storage_probe	test	1686594	628340	1489058	173473	3644	3605	3605	785	784	25	24	16015	19	dda08c0386276d95efdabe3e41214640769cd88a47571ec2a5ec2861a6c7e19a	cff7163f1a36f0aaff5dfaa22404d1972ca02826e9e47b5aa2bc6ddcf49d0a52	607642a82f5792b88be3d15b0de7eb179b94a67bb290693700a62888a87a51a8	1809072	617645	1609014	175549	4097
