canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
app	canic_time	app:canic_time:minimal-valid	1	19818	19818
app	canic_env	app:canic_env:minimal-valid	1	21418	21418
app	canic_log	app:canic_log:empty-page	1	359325	359325
root	canic_subnet_registry	root:canic_subnet_registry:full-registry	1	181121	181121
root	canic_subnet_state	root:canic_subnet_state:empty-struct	1	20867	20867
scale_hub	plan_create_worker	scale_hub:plan_create_worker:empty-pool	1	56253	56253
test	test	test:test:minimal-valid	1	421	421
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	587629	587629
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	222543	222543
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	18224516	18224516
