canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
audit_leaf_probe	audit_time_probe	app:canic_time:minimal-valid	1	33664	33664
audit_leaf_probe	audit_env_probe	app:canic_env:minimal-valid	1	35316	35316
audit_leaf_probe	audit_log_probe	app:canic_log:empty-page	1	314600	314600
audit_root_probe	audit_subnet_registry_probe	root:canic_subnet_registry:full-registry	1	76891	76891
audit_root_probe	audit_subnet_state_probe	root:canic_subnet_state:empty-struct	1	32004	32004
audit_scaling_probe	audit_plan_create_worker_probe	scale_hub:plan_create_worker:empty-pool	1	64451	64451
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	1724367	1724367
test	test	test:test:minimal-valid	1	819	819
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	598838	598838
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	414110	414110
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	186879	186879
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	332237	332237
