canister	kind	built_wasm_bytes	built_wasm_gz_bytes	shrunk_wasm_bytes	shrunk_wasm_gz_bytes	shrink_delta_bytes	shrink_delta_percent	built_functions	shrunk_functions	built_exports	shrunk_exports
app	leaf-canister	1787476	509429	1671990	473161	115486	6.46	3404	3404	17	17
minimal	leaf-canister	1787476	509348	1671989	473162	115487	6.46	3404	3404	17	17
user_hub	leaf-canister	1961681	568727	1835053	522576	126628	6.46	3732	3732	21	21
user_shard	leaf-canister	1909955	553293	1785471	512648	124484	6.52	3600	3600	21	21
scale_hub	leaf-canister	1852049	531724	1732446	491555	119603	6.46	3518	3518	20	20
scale	leaf-canister	1806309	516133	1689736	481298	116573	6.45	3444	3444	18	18
root	bundle-canister	3966030	1556798	3723936	1439197	242094	6.10	5839	5839	42	42
