canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
audit_leaf_probe	audit_time_probe	app:canic_time:minimal-valid	1	34091	34091
audit_leaf_probe	audit_env_probe	app:canic_env:minimal-valid	1	35740	35740
audit_leaf_probe	audit_log_probe	app:canic_log:empty-page	1	315305	315305
audit_root_probe	audit_subnet_registry_probe	root:canic_subnet_registry:full-registry	1	76458	76458
audit_root_probe	audit_subnet_state_probe	root:canic_subnet_state:empty-struct	1	32125	32125
audit_scaling_probe	audit_plan_create_worker_probe	scale_hub:plan_create_worker:empty-pool	1	64328	64328
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	1724615	1724615
test	test	test:test:minimal-valid	1	819	819
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	601460	601460
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	414411	414411
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	187508	187508
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	339634	339634
