canister	kind	built_wasm_bytes	built_wasm_gz_bytes	shrunk_wasm_bytes	shrunk_wasm_gz_bytes	debug_built_wasm_bytes	debug_built_wasm_gz_bytes	debug_vs_profile_delta_bytes	debug_vs_profile_delta_percent	shrink_delta_bytes	shrink_delta_percent	built_functions	shrunk_functions	built_exports	shrunk_exports
app	leaf-canister	3787580	961818	3556358	865823	99830840	20413349	+96043260	2535.74%	231222	6.10	6430	6430	18	18
user_hub	leaf-canister	3956158	1011953	3714301	913661	103478615	21170661	+99522457	2515.63%	241857	6.11	6756	6756	22	22
user_shard	leaf-canister	3909239	1002770	3673285	909876	101529818	20828583	+97620579	2497.18%	235954	6.04	6659	6659	23	23
scale_hub	leaf-canister	3821440	971271	3588211	876895	100301261	20534211	+96479821	2524.70%	233229	6.10	6489	6489	21	21
scale_replica	leaf-canister	3797828	964731	3566017	870848	100000289	20464507	+96202461	2533.09%	231811	6.10	6458	6458	19	19
root	bundle-canister	5970900	2255934	5658062	2114310	113352116	24849898	+107381216	1798.41%	312838	5.24	8519	8519	40	40
