experiment	condition	artifact_id	wasm	gzip	candid	metrics	result
b1-04-authorization-record-codecs	baseline	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	baseline	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	baseline	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	baseline	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	baseline	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	baseline	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	baseline	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	baseline	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	baseline	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	baseline	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	baseline	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	baseline	runtime_probe	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
b1-04-authorization-record-codecs	variant	runtime_probe	PASS	PASS	PASS	PASS	PASS
