canister	before_raw_bytes	after_raw_bytes	before_gzip_bytes	after_gzip_bytes	before_code_bytes	after_code_bytes	before_data_section_bytes	after_data_section_bytes	before_functions	after_functions
app	3064368	2885999	1019690	1038424	2824674	2649529	202317	199763	5353	4657
test	3400312	3200574	1119420	1139639	3140087	2943588	216369	213837	5924	5174
user_hub	3533534	3326921	1170636	1188286	3272186	3068953	220589	217932	6231	5450
scale_hub	3454082	3250522	1140913	1157418	3196131	2995832	218145	215593	6046	5280
user_shard	3458268	3254719	1139894	1160529	3197929	2997689	216889	214296	6080	5320
scale_replica	3075406	2896719	1024747	1043641	2834656	2659233	202709	200117	5383	4685
root	7593756	7149541	2470734	2539590	7149166	6709592	337873	334578	11026	9633
fleet_coordinator	3720063	3496090	1180746	1214593	3466506	3245678	201209	198867	5323	4463
wasm_store	2607459	2452234	870403	889967	2407282	2254883	179101	176894	4919	4239
