canister	kind	built_wasm_bytes	built_wasm_gz_bytes	shrunk_wasm_bytes	shrunk_wasm_gz_bytes	debug_built_wasm_bytes	debug_built_wasm_gz_bytes	debug_vs_profile_delta_bytes	debug_vs_profile_delta_percent	shrink_delta_bytes	shrink_delta_percent	built_functions	shrunk_functions	built_exports	shrunk_exports
app	leaf-canister	3197223	833927	2996944	747698	90961523	18530424	+87764300	2745.02%	200279	6.26	5714	5714	18	18
user_hub	leaf-canister	3365826	886846	3154906	793838	94637195	19274651	+91271369	2711.71%	210920	6.27	6041	6041	22	22
user_shard	leaf-canister	3300830	867577	3095441	781480	92567033	18901040	+89266203	2704.36%	205389	6.22	5928	5928	23	23
scale_hub	leaf-canister	3231083	842849	3028777	758221	91414575	18645735	+88183492	2729.22%	202306	6.26	5773	5773	21	21
scale_replica	leaf-canister	3207471	837291	3006586	752616	91114361	18572335	+87906890	2740.69%	200885	6.26	5742	5742	19	19
root	bundle-canister	5196955	1981001	4914820	1856021	104617814	22781014	+99420859	1913.06%	282135	5.43	7646	7646	39	39
