canister	kind	built_wasm_bytes	built_wasm_gz_bytes	shrunk_wasm_bytes	shrunk_wasm_gz_bytes	shrink_delta_bytes	shrink_delta_percent	built_functions	shrunk_functions	built_exports	shrunk_exports
app	leaf-canister	1887070	535699	1897571	517812	-10501	-0.56	3527	3731	22	22
minimal	leaf-canister	1887070	535590	1897556	517815	-10486	-0.56	3527	3731	22	22
user_hub	leaf-canister	2045126	588298	2046012	562646	-886	-0.04	3830	4033	25	25
user_shard	leaf-canister	1999862	575379	2001747	554163	-1885	-0.09	3698	3901	26	26
scale_hub	leaf-canister	1947795	555729	1954537	535015	-6742	-0.35	3631	3835	25	25
scale	leaf-canister	1887070	536101	1897556	517827	-10486	-0.56	3527	3731	22	22
shard_hub	leaf-canister	2052483	591179	2052705	566760	-222	-0.01	3847	4050	26	26
shard	leaf-canister	1887070	536019	1897556	517826	-10486	-0.56	3527	3731	22	22
test	leaf-canister	1966626	563203	1971070	542527	-4444	-0.23	3644	3848	25	25
root	bundle-canister	3327471	950289	3112916	854715	214555	6.45	5618	5618	45	45
