experiment	condition	repetition	artifact_id	canister	wasm_bytes	gzip_bytes	code_section_bytes	data_section_bytes	ic_wasm_total_functions	replica_limited_defined_functions	optimizer_defined_functions	table_minimum	element_entries	wasm_export_entries	ic_wasm_exported_methods	candid_bytes	candid_service_methods	wasm_sha256	gzip_sha256	candid_sha256	optimizer_before_raw	optimizer_before_gzip	optimizer_before_code	optimizer_before_data	optimizer_before_functions
b1-16-status-projection	baseline	b	canonical_user_hub	user_hub	3330766	1188810	3072247	218262	5512	5473	5473	980	979	15	14	30421	9	ca4a106ac94471ef4a3ab771a90745e040e012b515f04a419622634e094cf0aa	8d7a78adead58e2046416bd3ac6916a67d1559f367d0ffae8f03f32706419252	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3538804	1171866	3276982	220849	6256
b1-16-status-projection	baseline	b	canonical_scale_hub	scale_hub	3252038	1157860	2997048	215869	5334	5295	5295	965	964	12	11	29665	6	d4a3853f9db76c20f295db44c7d2f8205a1b58086237d583e0423da660c4387d	950dfa721f6be8ba420ee02dc1e029855c5fe38fc52dd7bd9b5447963723cac4	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3457034	1141414	3198807	218405	6062
b1-16-status-projection	baseline	b	canonical_index_child	index_child	2443555	885987	2224620	184718	4035	3996	3996	837	836	10	9	26552	4	4d4696daf846d052365abbfc7eaeaa0670d087a81a2391d3a4e87b2f3c8ce9fc	7d17a37347da567cf906296a66354881af49761741c43b35ba9defbdd96c28ec	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	2599776	868568	2378085	186873	4653
b1-16-status-projection	baseline	b	canonical_user_shard	user_shard	3259121	1161359	3001399	214720	5384	5341	5341	977	976	14	13	33290	8	363eca18705fb89e8c44fe1e6090154882bff61e6b3ce1d5c0de57a01443135d	8b7d7a76970bcbc4f948aa1f5c8a049ff9b9a153118cb16763f8ff72eec23d9f	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	3464190	1140945	3203202	217277	6103
b1-16-status-projection	baseline	b	canonical_scale_replica	scale_replica	2898215	1044091	2660428	200393	4737	4700	4700	925	924	11	10	28760	5	831445fd3e9780c39dde483400afc4a71d83456f41e324af41455bed1ca4d390	49067a80d504de20bc503d9bc914cc4959fa33fa395b7f810317890221df3d0f	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	3078355	1025137	2837328	202969	5399
b1-16-status-projection	baseline	b	canonical_root	root	7097171	2523686	6659745	333806	9641	9596	9596	1652	1651	12	11	88042	6	0dbc058282b5a689b92bd6de2be5bedb3de1731014ec3f929b897be8baabad8d	8b620e0539d93a3d85c3fc6b8498f697d4b0896d1b1f73331ddc09851f6a2d5a	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	7543047	2454740	7100962	337125	10983
b1-16-status-projection	baseline	b	canonical_fleet_coordinator	fleet_coordinator	3497977	1215581	3247309	199123	4497	4463	4463	883	882	7	6	43510	2	99912d80cd27cbf7a80b6b3cf4526c08b682a63dd306294e0d8a2816eaa5b767	7c7c37fff6ba4522e3ec8f01cb64e3ad2f209e70deb354ffae5b82e4dfeee1dc	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3721861	1182054	3468047	201465	5324
b1-16-status-projection	baseline	b	canonical_wasm_store	wasm_store	2452131	890086	2254620	177039	4283	4244	4244	840	839	11	10	12459	5	9917751b526409179968fc949232ad9961f5e52948a0aa864d56061caaed3fd8	48609888291021b47252993b9f3ff58a18aa0457ba3c2802dcb56be6357b4d21	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2608460	870170	2408151	179229	4922
b1-16-status-projection	variant	a	canonical_app	app	2783196	999179	2555567	191110	4528	4491	4491	919	918	10	9	28177	4	208bc47d02f5dedf09d1a89cb947ee26b09b70671e768690ae8b6a559dde123c	9767645eba1409a275b7b8534d407765e6941efb57591421e44e516522f31d35	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	2954726	980570	2723953	193601	5167
b1-16-status-projection	variant	a	canonical_index_hub	index_hub	2563288	920505	2345945	181468	4203	4164	4164	857	856	10	9	27959	4	aaae2c4af80515836a843ffd48a60b9f03501cf230d0fb8717d156ee007af013	55481333114be41f7a01ace06d80e93af2e51ad45a01083c45b763af6f4fd164	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2726751	903613	2506686	183585	4850
b1-16-status-projection	variant	a	canonical_test	test	3094091	1098735	2846143	204959	5047	5008	5008	970	969	12	11	33804	6	e2839fc246511bac5372c4d3dfaaba34e5e30337bc25acc688e15d3906879086	ff2145bfae65000c5ec309098f7741287f06b8b459d24e93eab24679708c8600	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3287934	1079025	3036763	207521	5737
b1-16-status-projection	variant	a	canonical_user_hub	user_hub	3217190	1148007	2969177	207947	5325	5286	5286	977	976	15	14	30421	9	4195de0b94ab03fb15cceb1083ae5457af78311dac984cac76aec66386fed5a9	484e18745859bf5ffdff0db8ae9f160b52f3d5bd2a6fcd8c0041d0c849d332a5	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3418280	1130707	3166946	210593	6044
b1-16-status-projection	variant	a	canonical_scale_hub	scale_hub	3143405	1119884	2898570	205899	5153	5114	5114	962	961	12	11	29665	6	d8dfb4d6f3243db74024c9aa27b2b762cf11aae26e0ea32cdfe1fa32dec435fb	3678fdc726975325c53d7a6c2f76f19cc29ec67d2ed08ebb4745b649a8e73ec6	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3340188	1102324	3092107	208485	5856
b1-16-status-projection	variant	a	canonical_index_child	index_child	2340055	845619	2130436	175620	3865	3827	3827	834	833	10	9	26552	4	3ef87c5600090fcd5aeaa427adcf8830379e2826f9ff416cfb7bb06842d0319a	502ba88c46afd09e90346f83ac3e4f399a4897c59a612a47254ced940ef5d244	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	2490003	828674	2277666	177765	4459
b1-16-status-projection	variant	a	canonical_user_shard	user_shard	3138926	1116481	2890900	205346	5156	5116	5116	971	970	14	13	33290	8	6e9ed2e156d8f369d1437dede81152090d123cdf034bb40641efa1f27dbc42bd	b6ea47055c1665796926a9b8259e53d7b323b00c8a73a6cdef8c3e9c411a54d7	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	3335567	1095305	3084297	207921	5854
b1-16-status-projection	variant	a	canonical_scale_replica	scale_replica	2793972	1004141	2565318	191472	4557	4520	4520	922	921	11	10	28760	5	9aeac68d651cb08f2933f5b0873e7df5e05213674dd0c4724cf410c327155534	c142f3785d36ecb67823553cb5601efac1822da9528369af059572e6d5f48b01	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	2965803	985943	2733973	193993	5198
b1-16-status-projection	variant	a	canonical_root	root	6888465	2448974	6462935	322317	9342	9300	9300	1645	1644	12	11	88042	6	6e8aaf7333123a53e3e4ae7683c10665e1fba99432cc99ca375a3281a7626722	0f4bab19d7fe45240e8dc3689553742edef020d358d44f3282f0a360f6913d23	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	7321701	2377180	6891619	325573	10653
b1-16-status-projection	variant	a	canonical_fleet_coordinator	fleet_coordinator	3479030	1206515	3228699	198810	4475	4441	4441	882	881	7	6	43510	2	33b4589f5a30136da0edf025336e010f17a455f71a6f0103e9bc7941aed4d635	2bf62afd8ac3efa602b52f415c4a57d6804b81aa28dc944279d28f0fc78a0cb0	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3702287	1173605	3448781	201185	5297
b1-16-status-projection	variant	a	canonical_wasm_store	wasm_store	2436892	883183	2239724	176719	4262	4223	4223	839	838	11	10	12459	5	6e9c0a1f26749b17d84a434e54faedc2f4e599e4713309aeb34c769375d159e6	0730297a1ae5358dea20c7377a74374a473f8a978a622ccf9043a4b3ce7ad769	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2591760	864309	2391740	178973	4891
b1-16-status-projection	variant	b	canonical_app	app	2783196	999179	2555567	191110	4528	4491	4491	919	918	10	9	28177	4	208bc47d02f5dedf09d1a89cb947ee26b09b70671e768690ae8b6a559dde123c	9767645eba1409a275b7b8534d407765e6941efb57591421e44e516522f31d35	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	2954726	980570	2723953	193601	5167
b1-16-status-projection	variant	b	canonical_index_hub	index_hub	2563288	920505	2345945	181468	4203	4164	4164	857	856	10	9	27959	4	aaae2c4af80515836a843ffd48a60b9f03501cf230d0fb8717d156ee007af013	55481333114be41f7a01ace06d80e93af2e51ad45a01083c45b763af6f4fd164	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2726751	903613	2506686	183585	4850
b1-16-status-projection	variant	b	canonical_test	test	3094091	1098735	2846143	204959	5047	5008	5008	970	969	12	11	33804	6	e2839fc246511bac5372c4d3dfaaba34e5e30337bc25acc688e15d3906879086	ff2145bfae65000c5ec309098f7741287f06b8b459d24e93eab24679708c8600	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3287934	1079025	3036763	207521	5737
b1-16-status-projection	variant	b	canonical_user_hub	user_hub	3217190	1148007	2969177	207947	5325	5286	5286	977	976	15	14	30421	9	4195de0b94ab03fb15cceb1083ae5457af78311dac984cac76aec66386fed5a9	484e18745859bf5ffdff0db8ae9f160b52f3d5bd2a6fcd8c0041d0c849d332a5	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3418280	1130707	3166946	210593	6044
b1-16-status-projection	variant	b	canonical_scale_hub	scale_hub	3143405	1119884	2898570	205899	5153	5114	5114	962	961	12	11	29665	6	d8dfb4d6f3243db74024c9aa27b2b762cf11aae26e0ea32cdfe1fa32dec435fb	3678fdc726975325c53d7a6c2f76f19cc29ec67d2ed08ebb4745b649a8e73ec6	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3340188	1102324	3092107	208485	5856
b1-16-status-projection	variant	b	canonical_index_child	index_child	2340055	845619	2130436	175620	3865	3827	3827	834	833	10	9	26552	4	3ef87c5600090fcd5aeaa427adcf8830379e2826f9ff416cfb7bb06842d0319a	502ba88c46afd09e90346f83ac3e4f399a4897c59a612a47254ced940ef5d244	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	2490003	828674	2277666	177765	4459
b1-16-status-projection	variant	b	canonical_user_shard	user_shard	3138926	1116481	2890900	205346	5156	5116	5116	971	970	14	13	33290	8	6e9ed2e156d8f369d1437dede81152090d123cdf034bb40641efa1f27dbc42bd	b6ea47055c1665796926a9b8259e53d7b323b00c8a73a6cdef8c3e9c411a54d7	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	3335567	1095305	3084297	207921	5854
b1-16-status-projection	variant	b	canonical_scale_replica	scale_replica	2793972	1004141	2565318	191472	4557	4520	4520	922	921	11	10	28760	5	9aeac68d651cb08f2933f5b0873e7df5e05213674dd0c4724cf410c327155534	c142f3785d36ecb67823553cb5601efac1822da9528369af059572e6d5f48b01	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	2965803	985943	2733973	193993	5198
b1-16-status-projection	variant	b	canonical_root	root	6888465	2448974	6462935	322317	9342	9300	9300	1645	1644	12	11	88042	6	6e8aaf7333123a53e3e4ae7683c10665e1fba99432cc99ca375a3281a7626722	0f4bab19d7fe45240e8dc3689553742edef020d358d44f3282f0a360f6913d23	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	7321701	2377180	6891619	325573	10653
b1-16-status-projection	variant	b	canonical_fleet_coordinator	fleet_coordinator	3479030	1206515	3228699	198810	4475	4441	4441	882	881	7	6	43510	2	33b4589f5a30136da0edf025336e010f17a455f71a6f0103e9bc7941aed4d635	2bf62afd8ac3efa602b52f415c4a57d6804b81aa28dc944279d28f0fc78a0cb0	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3702287	1173605	3448781	201185	5297
b1-16-status-projection	variant	b	canonical_wasm_store	wasm_store	2436892	883183	2239724	176719	4262	4223	4223	839	838	11	10	12459	5	6e9c0a1f26749b17d84a434e54faedc2f4e599e4713309aeb34c769375d159e6	0730297a1ae5358dea20c7377a74374a473f8a978a622ccf9043a4b3ce7ad769	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2591760	864309	2391740	178973	4891
