experiment	condition	artifact_id	wasm	gzip	candid	metrics	result
b1-09-candid-type-documentation	baseline	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	runtime_probe	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	payload_limit_probe	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	baseline	blob_storage_probe	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	runtime_probe	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	payload_limit_probe	PASS	PASS	PASS	PASS	PASS
b1-09-candid-type-documentation	variant	blob_storage_probe	PASS	PASS	PASS	PASS	PASS
