canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
audit_leaf_probe	audit_time_probe	app:canic_time:minimal-valid	1	25375	25375
audit_leaf_probe	audit_env_probe	app:canic_env:minimal-valid	1	27027	27027
audit_leaf_probe	audit_log_probe	app:canic_log:empty-page	1	306606	306606
audit_root_probe	audit_subnet_registry_probe	root:canic_subnet_registry:full-registry	1	68995	68995
audit_root_probe	audit_subnet_state_probe	root:canic_subnet_state:empty-struct	1	24320	24320
audit_scaling_probe	audit_plan_create_worker_probe	scale_hub:plan_create_worker:empty-pool	1	55290	55290
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	1719933	1719933
test	test	test:test:minimal-valid	1	817	817
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	489149	489149
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	415480	415480
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	190864	190864
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	338309	338309
