canister	kind	built_wasm_bytes	built_wasm_gz_bytes	shrunk_wasm_bytes	shrunk_wasm_gz_bytes	debug_built_wasm_bytes	debug_built_wasm_gz_bytes	debug_vs_profile_delta_bytes	debug_vs_profile_delta_percent	shrink_delta_bytes	shrink_delta_percent	built_functions	shrunk_functions	built_exports	shrunk_exports
app	leaf-canister	3756144	953053	3527709	860963	86281319	18016888	+82525175	2197.07%	228435	6.08	6370	6370	18	18
user_hub	leaf-canister	3924594	1002979	3685509	908213	89975306	18775042	+86050712	2192.60%	239085	6.09	6696	6696	22	22
user_shard	leaf-canister	3878476	991597	3645206	904399	88062842	18457581	+84184366	2170.55%	233270	6.01	6602	6602	23	23
scale_hub	leaf-canister	3790004	961784	3559524	871986	86747830	18136188	+82957826	2188.86%	230480	6.08	6429	6429	21	21
scale_replica	leaf-canister	3766264	955525	3537219	866129	86446049	18064747	+82679785	2195.27%	229045	6.08	6398	6398	19	19
root	bundle-canister	5893713	2203829	5588297	2072607	99893451	22406083	+93999738	1594.92%	305416	5.18	8437	8437	40	40
