canister	kind	built_wasm_bytes	built_wasm_gz_bytes	shrunk_wasm_bytes	shrunk_wasm_gz_bytes	shrink_delta_bytes	shrink_delta_percent	built_functions	shrunk_functions	built_exports	shrunk_exports
app	leaf-canister	1787396	509362	1671916	473102	115480	6.46	3403	3403	17	17
minimal	leaf-canister	1787396	509366	1671915	473157	115481	6.46	3403	3403	17	17
user_hub	leaf-canister	1961876	568876	1835250	522768	126626	6.45	3731	3731	21	21
user_shard	leaf-canister	1909887	553307	1785409	512672	124478	6.52	3599	3599	21	21
scale_hub	leaf-canister	1852244	531861	1732643	491638	119601	6.46	3517	3517	20	20
scale	leaf-canister	1806504	516453	1689933	481369	116571	6.45	3443	3443	18	18
root	bundle-canister	3939213	1531444	3720687	1439124	218526	5.55	5787	5787	42	42
