canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
audit_leaf_probe	audit_time_probe	app:canic_time:minimal-valid	1	33703	33703
audit_leaf_probe	audit_env_probe	app:canic_env:minimal-valid	1	35422	35422
audit_leaf_probe	audit_log_probe	app:canic_log:empty-page	1	313611	313611
audit_root_probe	audit_subnet_registry_probe	root:canic_subnet_registry:full-registry	1	76857	76857
audit_root_probe	audit_subnet_state_probe	root:canic_subnet_state:empty-struct	1	32212	32212
audit_scaling_probe	audit_plan_create_worker_probe	scale_hub:plan_create_worker:empty-pool	1	64183	64183
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	1726014	1726014
test	test	test:test:minimal-valid	1	817	817
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	597403	597403
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	421435	421435
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	186968	186968
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	338484	338484
