canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
audit_leaf_probe	audit_time_probe	app:canic_time:minimal-valid	1	33418	33418
audit_leaf_probe	audit_env_probe	app:canic_env:minimal-valid	1	35067	35067
audit_leaf_probe	audit_log_probe	app:canic_log:empty-page	1	315062	315062
audit_root_probe	audit_subnet_registry_probe	root:canic_subnet_registry:full-registry	1	77054	77054
audit_root_probe	audit_subnet_state_probe	root:canic_subnet_state:empty-struct	1	31975	31975
audit_scaling_probe	audit_plan_create_worker_probe	scale_hub:plan_create_worker:empty-pool	1	63929	63929
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	1679415	1679415
test	test	test:test:minimal-valid	1	891	891
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	490744	490744
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	416859	416859
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	185149	185149
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	337207	337207
