experiment	condition	repetition	artifact_id	canister	wasm_bytes	gzip_bytes	code_section_bytes	data_section_bytes	ic_wasm_total_functions	replica_limited_defined_functions	optimizer_defined_functions	table_minimum	element_entries	wasm_export_entries	ic_wasm_exported_methods	candid_bytes	candid_service_methods	wasm_sha256	gzip_sha256	candid_sha256	optimizer_before_raw	optimizer_before_gzip	optimizer_before_code	optimizer_before_data	optimizer_before_functions
b1-03-activation-record-codecs	baseline	a	canonical_app	app	2887487	1039109	2650724	200031	4709	4672	4672	922	921	10	9	28177	4	e9b16ac36413e1a255066b4afb32ab11c745e856a95bc9ad69318d88b6bdff4a	45d7db43a9c05472ddfb7c96e7e20b90fba497b07d269f060b3c14da426933a6	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	3067317	1020355	2827346	202577	5369
b1-03-activation-record-codecs	baseline	a	canonical_index_hub	index_hub	2672278	960517	2444607	191610	4385	4346	4346	860	859	10	9	27959	4	0c8fb4af332e9762e6cdb1610bef124a47b1894c0d462385aa49c3af62d37b57	229e3cd71cd91a891d411987802c528b9b078bd8ca619aa004011c32d8286adf	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2843118	943205	2612651	193761	5056
b1-03-activation-record-codecs	baseline	a	canonical_test	test	3202049	1139956	2944773	214102	5228	5189	5189	973	972	12	11	33804	6	15886225b112feee8e7d2a91ca4bfdfc7441d5f5d5610f4af3354409f9820251	5c59d1e69a078c7c162270490828fcf41da2941a7b88cbd240d4828d369b8f63	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3403236	1119760	3142734	216629	5940
b1-03-activation-record-codecs	baseline	a	canonical_user_hub	user_hub	3330766	1188810	3072247	218262	5512	5473	5473	980	979	15	14	30421	9	b1b1dbbd79b1ded4c01e44164281d966e7c97c7cc006db4a61297854ad2dfa3f	d3b95ddcd2bd02db5d710f3289a8e0029cba64cf42e2d800f255935f294dc7b6	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3538804	1171866	3276982	220849	6256
b1-03-activation-record-codecs	baseline	a	canonical_scale_hub	scale_hub	3252038	1157859	2997048	215869	5334	5295	5295	965	964	12	11	29665	6	855f91b07b526a7bce1ac4c23a99454a95d63bc3512d406d2269d8083484e583	661198f30ece3d8c8e0280d54ddc7b8adc322f83451c61d2faf3e5871d64c440	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3457034	1141414	3198807	218405	6062
b1-03-activation-record-codecs	baseline	a	canonical_index_child	index_child	2443555	885988	2224620	184718	4035	3996	3996	837	836	10	9	26552	4	ecbcf69917489b4916bfc2d08f16ffa17be6842ae42b434e40eb876ba5785f4e	bdbb5b950293d4e3b1264805854facc17c04e9a35e42eed7b61c05d610e711ad	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	2599776	868569	2378085	186873	4653
b1-03-activation-record-codecs	baseline	a	canonical_user_shard	user_shard	3259121	1161358	3001399	214720	5384	5341	5341	977	976	14	13	33290	8	af5bd215f11ad1db366c07972916058f53430a734521b620955ebde198078f95	a96d7663ea165fb8ea91f6a0dc2480cdfb90a675ff7147a170691a1cf6d3a8a3	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	3464190	1140945	3203202	217277	6103
b1-03-activation-record-codecs	baseline	a	canonical_scale_replica	scale_replica	2898215	1044090	2660428	200393	4737	4700	4700	925	924	11	10	28760	5	b15702730d5af5806e29f96344dd1567289a341b0bb03ba2f337497ad2cfa056	efc8ccf3ebcae3b3ee342d48161c71c4537ef1c6e39c3518348cdfe68f6356b0	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	3078355	1025137	2837328	202969	5399
b1-03-activation-record-codecs	baseline	a	canonical_root	root	7097130	2523825	6659744	333766	9641	9596	9596	1652	1651	12	11	88042	6	c21135f42f0e43656de1de255dcb31ca7ae9ef962ba9e3af4348a32b855f491b	18bfce1f680b1b14d9f7bdf042a3831ec944a6681563e7ca352b08e0b1a0d376	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	7543046	2454813	7100961	337125	10983
b1-03-activation-record-codecs	baseline	a	canonical_fleet_coordinator	fleet_coordinator	3497977	1215581	3247309	199123	4497	4463	4463	883	882	7	6	43510	2	99912d80cd27cbf7a80b6b3cf4526c08b682a63dd306294e0d8a2816eaa5b767	7c7c37fff6ba4522e3ec8f01cb64e3ad2f209e70deb354ffae5b82e4dfeee1dc	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3721861	1182054	3468047	201465	5324
b1-03-activation-record-codecs	baseline	a	canonical_wasm_store	wasm_store	2452131	890086	2254620	177039	4283	4244	4244	840	839	11	10	12459	5	9917751b526409179968fc949232ad9961f5e52948a0aa864d56061caaed3fd8	48609888291021b47252993b9f3ff58a18aa0457ba3c2802dcb56be6357b4d21	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2608460	870170	2408151	179229	4922
b1-03-activation-record-codecs	baseline	b	canonical_app	app	2887487	1039109	2650724	200031	4709	4672	4672	922	921	10	9	28177	4	e9b16ac36413e1a255066b4afb32ab11c745e856a95bc9ad69318d88b6bdff4a	45d7db43a9c05472ddfb7c96e7e20b90fba497b07d269f060b3c14da426933a6	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	3067317	1020355	2827346	202577	5369
b1-03-activation-record-codecs	baseline	b	canonical_index_hub	index_hub	2672278	960517	2444607	191610	4385	4346	4346	860	859	10	9	27959	4	0c8fb4af332e9762e6cdb1610bef124a47b1894c0d462385aa49c3af62d37b57	229e3cd71cd91a891d411987802c528b9b078bd8ca619aa004011c32d8286adf	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2843118	943205	2612651	193761	5056
b1-03-activation-record-codecs	baseline	b	canonical_test	test	3202049	1139956	2944773	214102	5228	5189	5189	973	972	12	11	33804	6	15886225b112feee8e7d2a91ca4bfdfc7441d5f5d5610f4af3354409f9820251	5c59d1e69a078c7c162270490828fcf41da2941a7b88cbd240d4828d369b8f63	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3403236	1119760	3142734	216629	5940
b1-03-activation-record-codecs	baseline	b	canonical_user_hub	user_hub	3330766	1188810	3072247	218262	5512	5473	5473	980	979	15	14	30421	9	b1b1dbbd79b1ded4c01e44164281d966e7c97c7cc006db4a61297854ad2dfa3f	d3b95ddcd2bd02db5d710f3289a8e0029cba64cf42e2d800f255935f294dc7b6	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3538804	1171866	3276982	220849	6256
b1-03-activation-record-codecs	baseline	b	canonical_scale_hub	scale_hub	3252038	1157859	2997048	215869	5334	5295	5295	965	964	12	11	29665	6	855f91b07b526a7bce1ac4c23a99454a95d63bc3512d406d2269d8083484e583	661198f30ece3d8c8e0280d54ddc7b8adc322f83451c61d2faf3e5871d64c440	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3457034	1141414	3198807	218405	6062
